打单日期,出货日期,最晚送达日期,单号,发货方名称,发货方地址,发货方联系人,发货方联系电话,起运城市,收货方编号,收货方名称,收货方地址,收货方联系人,收货方联系电话,目的城市,运输方式,配送方式,产品编码,产品名称,产品型号,产品单位,单位体积,单位重量,发货数量,特殊要求,是否需要订单,订单特殊要求,需要预约,若有指定签收人的人名,会出具入库单,入库单需要交给SONY,签收情况,周六是否收货,周日是否收货,收货开始时间,收货结束时间,SONY销售员,SONY销售员联系电话	,SONY销售员上级主管,SONY销售员上级主管电话
2011-4-27 8:58:11,,,9204505798,SAP库,,,,,2700547001,国力电器,武汉市江汉区保成路5号楼,,,武汉,卡车装运,,P93407304,3D眼镜(黑),TDG-BR250/B,台,0.00,1.90,30,,N,,N,,N,N,,,,,,,,,
2011-4-27 8:58:12,,,9204505799,SAP库,,,,,73300080,株洲百货股份有限公司,株州市建设中路1号,,,株洲,卡车装运,,P48887047,数码相机,DSC-HX9/(黑)  CN2,台,0.00,5.43,2,,N,,N,,N,N,,N,N,,,,,吴伟,0733-8258098
2011-4-27 8:58:12,,,9204505799,SAP库,,,,,73300080,株洲百货股份有限公司,株州市建设中路1号,,,株洲,卡车装运,,P31227277,记忆棒,MS-MT4G/2NT CN,只,0.00,0.26,2,,N,,N,,N,N,,N,N,,,,,吴伟,0733-8258098
2011-4-27 8:58:46,,,9204505925,SAP库,,,,,5320112008,DICS_青岛1店_颐高_慧佳,青岛市辽宁路226号电子信息城212室,顾媛 石运花,,青岛,卡车装运,,P84373376,镜头,SAL55200-2/CCN2,只,0.00,7.00,2,,N,,N,,N,N,签字盖章,Y,Y,9：00,17：30,,,余洋,13708992200
2011-4-27 8:58:46,,,9204505925,SAP库,,,,,5320112008,DICS_青岛1店_颐高_慧佳,青岛市辽宁路226号电子信息城212室,顾媛 石运花,,青岛,卡车装运,,P48887047,数码相机,DSC-HX9/(黑)  CN2,台,0.00,5.43,3,,N,,N,,N,N,签字盖章,Y,Y,9：00,17：30,,,余洋,13708992200
2011-4-27 8:58:46,,,9204505925,SAP库,,,,,5320112008,DICS_青岛1店_颐高_慧佳,青岛市辽宁路226号电子信息城212室,顾媛 石运花,,青岛,卡车装运,,P31227277,记忆棒,MS-MT4G/2NT CN,只,0.00,0.26,3,,N,,N,,N,N,签字盖章,Y,Y,9：00,17：30,,,余洋,13708992200
2011-4-27 8:58:46,,,9204505925,SAP库,,,,,5320112008,DICS_青岛1店_颐高_慧佳,青岛市辽宁路226号电子信息城212室,顾媛 石运花,,青岛,卡车装运,,P31230875,记忆棒,MS-HX8A//K  CN,只,0.00,0.50,10,,N,,N,,N,N,签字盖章,Y,Y,9：00,17：30,,,余洋,13708992200
2011-4-27 8:58:48,,,9204505932,SAP库,,,,,7910907002,VAIO_南昌_天强_八一大道365号店,南昌市民德路4号,,,南昌,卡车装运,,P14983190,数码音频播放器,NWZ-B162F/BC 黑色,个,0.00,0.53,1,,N,,N,,N,N,,,,,,,,,
2011-4-27 8:58:48,,,9204505932,SAP库,,,,,7910907002,VAIO_南昌_天强_八一大道365号店,南昌市民德路4号,,,南昌,卡车装运,,P02074875,数码HD摄录一体机,HDRXR160E/BCCN1,台,0.00,2.43,1,,N,,N,,N,N,,,,,,,,,
2011-4-27 8:58:52,,,9204505938,SAP库,,,,,5310165002,NS_济南_欧东_绿地器材城,济南市标山南路12号绿地摄影器材城金街6号,,,济南,卡车装运,,P48891448,数码相机,DSC-J10/蓝  CN2,台,0.00,4.50,1,,N,,N,,N,N,,,,,,,,,
