打单日期,出货日期,最晚送达日期,单号,发货方名称,发货方地址,发货方联系人,发货方联系电话,起运城市,收货方编号,收货方名称,收货方地址,收货方联系人,收货方联系电话,目的城市,运输方式,配送方式,产品编码,产品名称,产品型号,产品单位,单位体积,单位重量,发货数量,特殊要求,是否需要订单,订单特殊要求,需要预约,若有指定签收人的人名,会出具入库单,入库单需要交给SONY,签收情况,周六是否收货,周日是否收货,收货开始时间,收货结束时间,SONY销售员,SONY销售员联系电话	,SONY销售员上级主管,SONY销售员上级主管电话
2011-8-27 10:31:48,,,9204830292,SAP库,,,,,2000084021,广州索盟百脑汇2B36店,广州市天河区天河南二路31号丰兴广场中兴阁601室,,,广州,卡车装运,,P27547193,笔记本电脑,VPCSD28EC/B(黑),台,0.01,3.10,1,,N,,N,,N,N,,,,,,,,,
2011-8-27 10:31:50,,,9204830302,SAP库,,,,,2000084018,广州索盟天河电脑城101店,广州市天河区天河南二路31号丰兴广场中兴阁601室,,,广州,卡车装运,,P27547199,笔记本电脑,VPCSD27EC/L(蓝),台,0.01,3.16,1,,N,,N,,N,N,,,,,,,,,
2011-8-27 10:31:51,,,9204830314,SAP库,,,,,2000084002,索盟颐高店,广州市天河区天河南二路31号丰兴广场中兴阁601室,童国水,13711596141 / 020-87,广州,卡车装运,,P27547199,笔记本电脑,VPCSD27EC/L(蓝),台,0.01,3.16,1,,N,,N,,N,N,,,,,,,,,
2011-8-27 10:31:53,,,9204830338,SAP库,,,,,2000973002,广州瀚达广百西湖路8楼店,广州市天河南二路19-21号宏发大厦555室,,,广州,空运,,P28298081,VAIO鼠标,VGP-UMS31/T(棕),个,0.00,2.40,5,,N,,N,,N,N,,,,,,,,,
2011-8-27 10:31:53,,,9204830338,SAP库,,,,,2000973002,广州瀚达广百西湖路8楼店,广州市天河南二路19-21号宏发大厦555室,,,广州,空运,,P59411104,VAIO 便携软包,VGP-CNM68/W(白),个,0.00,16.42,1,,N,,N,,N,N,,,,,,,,,
2011-8-27 10:31:53,,,9204830338,SAP库,,,,,2000973002,广州瀚达广百西湖路8楼店,广州市天河南二路19-21号宏发大厦555室,,,广州,空运,,P50661795,VAIO键盘贴膜,VGP-CNK06/B(黑),个,0.00,0.84,3,,N,,N,,N,N,,,,,,,,,
2011-8-27 10:31:53,,,9204830338,SAP库,,,,,2000973002,广州瀚达广百西湖路8楼店,广州市天河南二路19-21号宏发大厦555室,,,广州,空运,,P50661796,VAIO键盘贴膜,VGP-CNK06/P(粉),个,0.00,0.84,3,,N,,N,,N,N,,,,,,,,,
2011-8-27 10:31:53,,,9204830338,SAP库,,,,,2000973002,广州瀚达广百西湖路8楼店,广州市天河南二路19-21号宏发大厦555室,,,广州,空运,,P59411105,VAIO 便携软包,VGP-CNM68/B(黑),个,0.00,16.42,1,,N,,N,,N,N,,,,,,,,,
2011-8-27 10:31:53,,,9204830338,SAP库,,,,,2000973002,广州瀚达广百西湖路8楼店,广州市天河南二路19-21号宏发大厦555室,,,广州,空运,,P59411103,VAIO 便携软包,VGP-CNM68/P(粉),个,0.00,16.42,1,,N,,N,,N,N,,,,,,,,,
2011-8-27 10:31:53,,,9204830338,SAP库,,,,,2000973002,广州瀚达广百西湖路8楼店,广州市天河南二路19-21号宏发大厦555室,,,广州,空运,,P50133134,VAIO 便携软包,VGP-CNM65/B(黑),个,0.00,11.46,3,,N,,N,,N,N,,,,,,,,,
2011-8-27 10:31:53,,,9204830338,SAP库,,,,,2000973002,广州瀚达广百西湖路8楼店,广州市天河南二路19-21号宏发大厦555室,,,广州,空运,,P50133135,VAIO 便携软包,VGP-CNM65/P(粉),个,0.00,11.46,3,,N,,N,,N,N,,,,,,,,,
2011-8-27 10:31:55,,,9204830346,SAP库,,,,,2000973002,广州瀚达广百西湖路8楼店,广州市天河南二路19-21号宏发大厦555室,,,广州,空运,,P27537196,笔记本电脑,VPCYA26EC/B(黑),台,0.01,2.70,1,,N,,N,,N,N,,,,,,,,,
2011-8-27 10:31:56,,,9204830355,SAP库,,,,,7550317207,深圳隆源四海海岸城购物中心3楼327铺,深圳市南山区文心五路33号海岸城购物中心3楼327铺,,,深圳,空运,,P27546599,笔记本电脑,VPCCA26EC/P(粉),台,0.01,3.78,1,,N,,N,,N,N,,,,,,,,,
