打单日期,出货日期,最晚送达日期,单号,发货方名称,发货方地址,发货方联系人,发货方联系电话,起运城市,收货方编号,收货方名称,收货方地址,收货方联系人,收货方联系电话,目的城市,运输方式,配送方式,产品编码,产品名称,产品型号,产品单位,单位体积,单位重量,发货数量,特殊要求,是否需要订单,订单特殊要求,需要预约,若有指定签收人的人名,会出具入库单,入库单需要交给SONY,签收情况,周六是否收货,周日是否收货,收货开始时间,收货结束时间,SONY销售员,SONY销售员联系电话	,SONY销售员上级主管,SONY销售员上级主管电话
2011-8-31 7:00:16,,,9204838359,SAP库,,,,,7690112002,VAIO_东莞_美承_世博_G1097,深圳市福田区华强北赛格科技园4栋中329室,,,深圳,卡车装运,,P48898876,数码相机,CX61761D5   CN1,台,0.00,3.94,1,,N,,N,,N,N,,,,,,,,,
2011-8-31 7:00:16,,,9204838359,SAP库,,,,,7690112002,VAIO_东莞_美承_世博_G1097,深圳市福田区华强北赛格科技园4栋中329室,,,深圳,卡车装运,,P31235975,记忆棒,MS-MT4G/T1  CN,只,0.00,0.14,1,,N,,N,,N,N,,,,,,,,,
2011-8-31 7:00:16,,,9204838359,SAP库,,,,,7690112002,VAIO_东莞_美承_世博_G1097,深圳市福田区华强北赛格科技园4栋中329室,,,深圳,卡车装运,,P31235975,记忆棒,MS-MT4G/T1  CN,只,0.00,0.14,1,,N,,N,,N,N,,,,,,,,,
2011-8-31 7:00:16,,,9204838359,SAP库,,,,,7690112002,VAIO_东莞_美承_世博_G1097,深圳市福田区华强北赛格科技园4栋中329室,,,深圳,卡车装运,,P48899175,数码相机,CX61761F5   CN1,台,0.00,3.94,1,,N,,N,,N,N,,,,,,,,,
2011-8-31 7:00:16,,,9204838360,SAP库,,,,,7690112003,VAIO_东莞_美承_天源_A5,深圳市福田区华强北赛格科技园4栋中329室,,,深圳,卡车装运,,P48898876,数码相机,CX61761D5   CN1,台,0.00,3.94,1,,N,,N,,N,N,,,,,,,,,
2011-8-31 7:00:16,,,9204838360,SAP库,,,,,7690112003,VAIO_东莞_美承_天源_A5,深圳市福田区华强北赛格科技园4栋中329室,,,深圳,卡车装运,,P31235975,记忆棒,MS-MT4G/T1  CN,只,0.00,0.14,1,,N,,N,,N,N,,,,,,,,,
2011-8-31 7:00:16,,,9204838360,SAP库,,,,,7690112003,VAIO_东莞_美承_天源_A5,深圳市福田区华强北赛格科技园4栋中329室,,,深圳,卡车装运,,P31235975,记忆棒,MS-MT4G/T1  CN,只,0.00,0.14,1,,N,,N,,N,N,,,,,,,,,
2011-8-31 7:00:16,,,9204838360,SAP库,,,,,7690112003,VAIO_东莞_美承_天源_A5,深圳市福田区华强北赛格科技园4栋中329室,,,深圳,卡车装运,,P48899175,数码相机,CX61761F5   CN1,台,0.00,3.94,1,,N,,N,,N,N,,,,,,,,,
2011-8-31 7:00:16,,,9204838361,SAP库,,,,,7690112001,VAIO_东莞_美承_天源_236,深圳市福田区华强北赛格科技园4栋中329室,,,深圳,卡车装运,,P48898875,数码相机,CX61761C5   CN1,台,0.00,3.94,1,,N,,N,,N,N,,,,,,,,,
2011-8-31 7:00:16,,,9204838361,SAP库,,,,,7690112001,VAIO_东莞_美承_天源_236,深圳市福田区华强北赛格科技园4栋中329室,,,深圳,卡车装运,,P31235975,记忆棒,MS-MT4G/T1  CN,只,0.00,0.14,1,,N,,N,,N,N,,,,,,,,,
